"sample","p_cncr9254","p_cntrl9744","p_cncr2193","p_cncr5103","p_cncr9379","p_cntrl8450","p_cncr9674","p_cntrl4930","p_cncr1282","p_cntrl1266","p_cntrl3501","p_cncr7595","p_cncr2992","p_cncr5928","p_cntrl1083","p_cncr5269","p_cncr5428","p_cncr7863","p_cncr6232","p_cncr6008","p_cncr7650","p_cntrl8718","p_cntrl7961","p_cntrl6150","p_cntrl1211","p_cncr6234","p_cncr2844","p_cncr2962","p_cncr3365","p_cncr9197"
"11000000011010010110",33251,44119,171713,248904,2568,274070,1672,10837747,1494,410,174497,251908,8017,19583,545929,36517,312799,13984,124600,1104297,1752492,116093,56623241,117031,21050,200775,826074,714421,2621,11509
"00000110100011011000",180809,2066,119584,3847,9564,17667,9165,142191,22431,60260,4460,617395,154803,1063290,12835,8611,61508,173361,2124,279804,832579,1233502,310,38764,1033,2194540,430477,8502,2394158,1833
"01011110000110101000",13614,8776029,265599,11497,433,52176,1415583,41136,485515,878708,25240,647931,191332,97987,794,634431,29445,1184304,196963,1911,32361,282452,2327,324439,484798,8555,98538,370,26067,1994688
"11010001101101100110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01010000110110100001",2,22023,3799,157,43,81655,424,38668,1244081,1413,12710,14082,8872,118545,50344,832,33,826024,965,1270,1173,381,118,5462,494,22637,1330685,7340,12,293
"00101100111111010101",6903,7,327,383,36664,121587,3,320440,2063993,9763,4435,90,28499,2980927,38176,63,1579,282,233,270,70944,21182,4,368,5,319500,187786,19445,3,2
"01100101010001000110",90551,959,1181370,571151,24538,8242142,7210,509020,42339,181493,14551,2752,1155,1143,1275229,53982,190720,28340,3185122,22353,2738,45127,1763329,47140,383,89584,2024,3908501,56913,18024
"11110101110000110101",7601,20859,967854,13613,35126,68775,2065917,347967,2275491,190696,115179,175348,3432691,19290,15014,125518,102210,1136383,1703674,2155000,1497,1046,18445,464482,50050,123975,273783,122552,255290,641444
"00010101100000111011",98688,173995,18267,18871,1241,45564,19074694,265093,4991,150356,55693,3963808,7437489,201435,694,6754,25691,214826,220921,3197375,8849,12253,2701,19867329,13738,34250,1501273,9600,211871650,7547933
"01010110110110000110",11293,47187,377581,257424,1007,2198334,29518,126658,16096,32298,18608,244774,62205,617448,1038995,6501515,3899718,1071442,99083,30156,38735,1983820,20038,26953,8284,68143,40566,25079,5132,35378
"01100001101101101001",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10110000100101010101",164,11,531,2391,9,35616,26,70971,725247,4065,712,250,27008,438728,9943,21,159,18190,462,15473,29980,38,5,7,3848,2737854,1026788,339323,43,8
"11010011111111010101",4148,27,38,178,153,112349,15,35577,30920,1319,237,2221,2091,2640301,199274,31,2729,1762,5,6428,1220130,37,216,62,274,1509768,5493726,2267,1,13
"01101010101101101000",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10111000100000001001",5888,33691,54945,16329,4332,114697,580644,1261,353230,11787,219133,32527,275767,1741,2497,17311,4660,570997,146746,2549117,7618,213777,28098,6794,2617503,45065,55786,1515668,63439,13009
"11100110101001100110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11001101010010100010",16924,225951,317739,1076544,432,1245835,1896942,28414,41153,234384,120990,42849,5200,3968,258799,603571,7375,37478,1045441,84960,8661,15524,12587466,286483,11883,48217,4533,292579,28607,109847
"00110000101111001010",172807,2143,102867,16542,149911,9176,280,16987,39149,73331,632709,599997,42035,195263,99779,234979,7899,213532,59698,246557,744876,2218563,3904,7641,7347,1340362,24268,15426,35188,9322
"11000101111001100001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000101001001100000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011111001101100101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11100100110100110100",884,6755,31274566,34974,8099,51815,41571,392884,19862806,54673,389552,704257,2168889,284575,1135888,293650,509813,5839789,2300671,157209,9344,145245,14024,117401,3000,105928,125739,943582,8724,177646
"01001000111110001011",879,1053,43,263,574,1165865,16,20923,94776,39,36348,6043,2136,77383,377402,10,966,1446,22,985,90775,627936,10853,18014,16,3350,203653,21986,2,33
"00001100001000111010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10011010111100010010",7489,68320,224492,7157,26,186720,151047,801,1053,7708,137959,322965,20666,24132615,6281058,213223,1731995,127252,21296,93237,375114,789472,82340,7573,150911,107666,1588413,147176,1981,442941
"11101111111010111011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000001011101100001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001101000100111110",459887,2034004,13098,400700,1359,1422743,2533459,1027946,65975,400579,114547,395386,1412176,23576,5766,522,1435943,4684,1469788,12336,342327,283163,75808,22206656,6715,1045,82498,14335,156318,16368205
"10111000011001110011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01010100111000100000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00110010101001001010",17938,379,100771,796,7041,10058,585,9328,13305,31836,46420,66192,4250,229220,75615,61537,11552,819016,18323,179927,73469,619896,9156,1098,25317,959756,78444,42033,478368,10835
"00000111010110110010",21546,83180,298542,114724,204,227194,152267,20960,282,755136,8566,810143,2899,937122,1018748,222178,576121,68099,798565,26519,9465,14911,38305,591521,4184,90726,312579,8664,2201292,942304
"00101111101111111111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000000110111110011",149,299,1699,6389,14,23444,9,52474,575031,2670,80463,7207,1846,318752,1219720,102,190,48450,34,17850,19123,66,264,1330,149,1647677,316675,66845,101,15
"01000001001100110001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"01011110001100101101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10011010010010100110",1182,138719,33278,1287133,264,803540,28915,12551,4202,225916,101378,892,5694,4541,9800,2725505,17570,133018,274517,385396,11451,4338,1140859,714,15653903,688553,12790,205706,9086,7292
"01110010100001101100",1252,10798,232859,1122,111817,10544,1778,71987,12591152,426977,192855,21921,134462,4102,2897,23954,12885,13884713,83865,106157,24569,41195,1028,2818,230922,291016,26971,12857,75584,17373
"01110110110101010000",8931,15241,58351812,471,2291,40979,24627,13907,987738,416792,24123,374136,35421,5000815,3594122,548287,1902098,5772882,84384,3994,6204,368541,138,33412,3285,461741,200040,13392,49177,395804
"10011010101001111001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10011111010001010001",486703,32928,183560,62900,139,1298538,9037678,2973,1375,665912,1410,6280,8701,174082,19880,81327,190404,17877,30065,103415,4386,488,16791,21863,346862,407816,473598,240189,127076,145423
